Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,field
25,JOURNAL OF PERSONALITY ASSESSMENT,8074,2.185,0.00409,social
26,LAW AND HUMAN BEHAVIOR,3204,2.154,0.00323,social
27,Cultural Diversity & Ethnic Minority Psychology,2802,2.147,0.00427,social
28,JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,5780,2.012,0.00472,social
29,INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,3504,1.981,0.00253,social
30,Psychology of Men & Masculinity,1810,1.941,0.00246,social
31,Personality and Mental Health,455,1.929,0.00118,social
32,Social Psychology,881,1.883,0.00286,social
33,MOTIVATION AND EMOTION,4148,1.878,0.00421,social
34,JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,1450,1.857,0.00126,social
35,Self and Identity,1977,1.797,0.00234,social
36,JOURNAL OF NONVERBAL BEHAVIOR,1649,1.767,0.00136,social
37,SMALL GROUP RESEARCH,1647,1.745,0.00119,social
38,Nebraska Symposium on Motivation,810,1.643,2.9e-4,social
39,Journal of Diversity in Higher Education,623,1.638,0.00105,social
40,RESEARCH ON LANGUAGE AND SOCIAL INTERACTION,1298,1.591,0.00129,social
41,BASIC AND APPLIED SOCIAL PSYCHOLOGY,2318,1.577,0.00235,social
42,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,8248,1.537,0.00273,social
43,PERSONAL RELATIONSHIPS,2522,1.522,0.00168,social
44,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,3227,1.472,0.00182,social
45,JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,1191,1.467,6.8e-4,social
46,SOCIAL COGNITION,2590,1.452,0.00227,social
47,DEVIANT BEHAVIOR,1679,1.348,0.00183,social
48,SOCIAL PSYCHOLOGY QUARTERLY,3384,1.286,0.00149,social
49,JOURNAL OF SOCIAL PSYCHOLOGY,3399,1.241,0.00177,social
50,JOURNAL OF PSYCHOSOCIAL ONCOLOGY,1064,1.238,0.00167,social
51,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,1579,1.162,0.00152,social
52,Journal of Individual Differences,632,1.113,0.00131,social
53,ASIAN JOURNAL OF SOCIAL PSYCHOLOGY,829,1.063,7.2e-4,social
54,Analyses of Social Issues and Public Policy,583,1.059,7.8e-4,social
55,Journal of Latina-o Psychology,260,0.978,9.4e-4,social
56,Emerging Adulthood,621,0.974,0.00164,social
57,Social Justice Research,1122,0.969,0.00105,social
58,KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE,754,0.871,8.8e-4,social
59,GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE,914,0.788,7.8e-4,social
60,JOURNAL OF LOSS & TRAUMA,816,0.769,0.001,social
61,SOCIAL BEHAVIOR AND PERSONALITY,2711,0.676,0.0019,social
62,Revista de Psicologia Social,291,0.519,1.9e-4,social
63,Social Influence,496,0.467,5.8e-4,social
64,Gedrag & Organisatie,109,0.125,3e-5,social
Copyright © 2020 Clarivate Analytics,NA,NA,NA,NA,social
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",NA,NA,NA,NA,social
1,JOURNAL OF THE AMERICAN PSYCHOANALYTIC ASSOCIATION,1043,1.044,0.00106,psychoanalysis
2,PSYCHOANALYTIC PSYCHOLOGY,742,0.958,9.5e-4,psychoanalysis
3,ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND PSYCHOTHERAPIE,303,0.85,2.6e-4,psychoanalysis
4,BULLETIN OF THE MENNINGER CLINIC,454,0.667,3.2e-4,psychoanalysis
5,Psychoanalytic Study of the Child,438,0.525,2e-4,psychoanalysis
6,INTERNATIONAL JOURNAL OF PSYCHOANALYSIS,2532,0.48,0.00112,psychoanalysis
7,PSYCHOANALYTIC DIALOGUES,758,0.416,0.00114,psychoanalysis
8,PSYCHOANALYTIC QUARTERLY,661,0.4,7.8e-4,psychoanalysis
9,PSYCHOANALYTIC INQUIRY,467,0.385,5.8e-4,psychoanalysis
10,PSYCHE-ZEITSCHRIFT FUR PSYCHOANALYSE UND IHRE ANWENDUNGEN,272,0.337,1.9e-4,psychoanalysis
11,CONTEMPORARY PSYCHOANALYSIS,341,0.271,5.4e-4,psychoanalysis
12,FORUM DER PSYCHOANALYSE,80,0.164,6e-5,psychoanalysis
13,Psychoanalysis and History,48,0.103,1e-4,psychoanalysis
Copyright © 2020 Clarivate Analytics,NA,NA,NA,NA,psychoanalysis
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",NA,NA,NA,NA,psychoanalysis
1,International Review of Sport and Exercise Psychology,1058,14.333,0.00152,applied
2,Annual Review of Organizational Psychology and Organizational Behavior,1521,10.923,0.0074400000000000004,applied
3,JOURNAL OF MANAGEMENT,24234,8.88,0.022,applied
4,Journal of Occupational Health Psychology,4491,7.365,0.00571,applied
5,LEADERSHIP QUARTERLY,10275,6.642,0.00806,applied
6,PERSONNEL PSYCHOLOGY,8568,6.571,0.00603,applied
7,JOURNAL OF APPLIED PSYCHOLOGY,41414,5.851,0.02083,applied
8,ORGANIZATIONAL RESEARCH METHODS,6877,5.705,0.00607,applied
9,JOURNAL OF ORGANIZATIONAL BEHAVIOR,12953,5.026,0.01079,applied
10,JOURNAL OF VOCATIONAL BEHAVIOR,11679,4.075,0.00726,applied
11,JOURNAL OF COUNSELING PSYCHOLOGY,8770,3.697,0.00568,applied
12,Human Resource Development Quarterly,1479,3.688,5.9e-4,applied
13,WORK AND STRESS,3290,3.634,0.00198,applied
14,JOURNAL OF INTERPERSONAL VIOLENCE,7658,3.573,0.01026,applied
15,JOURNAL OF BUSINESS AND PSYCHOLOGY,3393,3.289,0.00422,applied
16,Industrial and Organizational Psychology-Perspectives on Science and Practice,1302,3.174,0.0026,applied
17,HUMAN FACTORS,6763,3.165,0.00533,applied
18,APPLIED ERGONOMICS,7659,3.145,0.00856,applied
19,JOURNAL OF CONSUMER PSYCHOLOGY,5809,2.958,0.00644,applied
20,European Journal of Work and Organizational Psychology,3338,2.882,0.00454,applied
21,Organizational Psychology Review,512,2.864,0.00116,applied
22,PSYCHOLOGY OF SPORT AND EXERCISE,5465,2.827,0.00677,applied
23,APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,4008,2.808,0.00188,applied
24,JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,4701,2.652,0.00355,applied
25,Sport Exercise and Performance Psychology,486,2.647,0.00125,applied
26,GROUP & ORGANIZATION MANAGEMENT,2742,2.545,0.0021,applied
27,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,5842,2.518,0.00855,applied
28,HUMAN RESOURCE MANAGEMENT,3910,2.476,0.00382,applied
29,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED,2358,2.431,0.00272,applied
30,MEDIA PSYCHOLOGY,1835,2.397,0.00219,applied
31,PSYCHOLOGY & MARKETING,6074,2.37,0.00349,applied
32,Applied Psychology-Health and Well Being,908,2.357,0.00145,applied
33,STRESS AND HEALTH,2055,2.35,0.00313,applied
34,Career Development International,2052,2.32,0.00163,applied
35,JOURNAL OF CAREER ASSESSMENT,1823,2.311,0.0017,applied
36,ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,12321,2.304,0.00621,applied
37,Work Aging and Retirement,411,2.281,0.00128,applied
38,COUNSELING PSYCHOLOGIST,3256,2.263,0.0018600000000000001,applied
39,JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,4663,2.239,0.00287,applied
40,ERGONOMICS,8747,2.19,0.00577,applied
41,INTERNATIONAL JOURNAL OF STRESS MANAGEMENT,1539,2.164,0.00132,applied
42,JOURNAL OF APPLIED SPORT PSYCHOLOGY,2062,2.15,0.00109,applied
43,International Journal of Sport and Exercise Psychology,889,2.106,8.9e-4,applied
44,PERSONNEL REVIEW,2492,2.074,0.00189,applied
45,EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT,2046,1.978,0.00203,applied
46,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,4367,1.883,0.00189,applied
47,ORGANIZATIONAL DYNAMICS,2369,1.852,9.7e-4,applied
48,MEASUREMENT AND EVALUATION IN COUNSELING AND DEVELOPMENT,1059,1.851,7.6e-4,applied
49,Research in Organizational Behavior,4049,1.8,0,applied
50,SMALL GROUP RESEARCH,1647,1.745,0.00119,applied
51,JOURNAL OF BEHAVIORAL DECISION MAKING,2776,1.715,0.00336,applied
52,Psychology of Music,1729,1.712,0.00196,applied
53,JOURNAL OF MULTICULTURAL COUNSELING AND DEVELOPMENT,595,1.594,3.9e-4,applied
54,Journal of Work and Organizational Psychology-Revista de Psicologia del Trabajo y de las Organizaciones,450,1.565,3.4e-4,applied
55,CAREER DEVELOPMENT QUARTERLY,1077,1.518,9.5e-4,applied
56,SPORT PSYCHOLOGIST,1856,1.515,0.00102,applied
57,JOURNAL OF APPLIED BEHAVIORAL SCIENCE,1709,1.5,8.8e-4,applied
58,JOURNAL OF COLLEGE STUDENT DEVELOPMENT,2754,1.478,0.00166,applied
59,JOURNAL OF CAREER DEVELOPMENT,983,1.474,9.5e-4,applied
60,JOURNAL OF COUNSELING AND DEVELOPMENT,2601,1.381,0.00143,applied
61,Journal of Managerial Psychology,3508,1.38,0.00221,applied
62,Journal of Clinical Sport Psychology,493,1.27,7.4e-4,applied
63,JOURNAL OF ORGANIZATIONAL BEHAVIOR MANAGEMENT,453,1.265,1.6e-4,applied
64,International Journal of Sports Science & Coaching,1327,1.235,0.00172,applied
65,INTERNATIONAL JOURNAL OF SELECTION AND ASSESSMENT,1332,1.2,9.1e-4,applied
66,International Journal for Educational and Vocational Guidance,259,1.176,2.5e-4,applied
67,HUMAN PERFORMANCE,1664,1.172,9.1e-4,applied
68,Journal of Personnel Psychology,501,1.154,5.9e-4,applied
69,International Journal of AEROSPACE Psychology,22,1.111,6e-5,applied
70,BEHAVIORAL SCIENCES & THE LAW,1881,1.102,0.00128,applied
71,JOURNAL OF EDUCATIONAL MEASUREMENT,1716,1.056,0.00129,applied
72,Negotiation and Conflict Management Research,296,1.027,3.9e-4,applied
73,INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY,1949,1.026,0.0026,applied
74,BRITISH JOURNAL OF GUIDANCE & COUNSELLING,783,0.845,4.4e-4,applied
75,INTERNATIONAL JOURNAL OF AVIATION PSYCHOLOGY,774,0.8,1.7e-4,applied
76,Journal of Investigative Psychology and Offender Profiling,337,0.783,3.2e-4,applied
77,EUROPEAN REVIEW OF APPLIED PSYCHOLOGY-REVUE EUROPEENNE DE PSYCHOLOGIE APPLIQUEE,585,0.768,6e-4,applied
78,Revista de Psicologia del Deporte,947,0.677,6.2e-4,applied
79,German Journal of Human Resource Management-Zeitschrift fur Personalforschung,48,0.621,1.6e-4,applied
80,TRAVAIL HUMAIN,256,0.567,1.5e-4,applied
81,ZEITSCHRIFT FUR ARBEITS-UND ORGANISATIONSPSYCHOLOGIE,190,0.556,1e-4,applied
82,JOURNAL OF EMPLOYMENT COUNSELING,345,0.533,2.1e-4,applied
83,Zeitschrift fur Sportpsychologie,83,0.48,7e-5,applied
84,Gedrag & Organisatie,109,0.125,3e-5,applied
Copyright © 2020 Clarivate Analytics,NA,NA,NA,NA,applied
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",NA,NA,NA,NA,applied
1,Behavior Research Methods,18539,4.425,0.01805,mathematical
2,PSYCHONOMIC BULLETIN & REVIEW,12117,3.91,0.02061,mathematical
3,JOURNAL OF MATHEMATICAL PSYCHOLOGY,3063,2.635,0.00383,mathematical
4,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,1965,2.388,0.00348,mathematical
5,JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,2056,2.042,0.00266,mathematical
6,PSYCHOMETRIKA,11390,1.959,0.00499,mathematical
7,EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,8383,1.941,0.00378,mathematical
8,APPLIED PSYCHOLOGICAL MEASUREMENT,4522,1.326,0.00175,mathematical
9,Methodology-European Journal of Research Methods for the Behavioral and Social Sciences,829,1.242,9.9e-4,mathematical
10,JOURNAL OF CLASSIFICATION,1524,1.156,0.00189,mathematical
11,JOURNAL OF EDUCATIONAL MEASUREMENT,1716,1.056,0.00129,mathematical
12,APPLIED MEASUREMENT IN EDUCATION,755,1.04,7.2e-4,mathematical
13,Nonlinear Dynamics Psychology and Life Sciences,378,0.688,4.2e-4,mathematical
Copyright © 2020 Clarivate Analytics,NA,NA,NA,NA,mathematical
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",NA,NA,NA,NA,mathematical
1,EDUCATIONAL PSYCHOLOGY REVIEW,5083,5.167,0.00534,educational
2,JOURNAL OF EDUCATIONAL PSYCHOLOGY,17685,5.028,0.01048,educational
3,CHILD DEVELOPMENT,30882,4.891,0.02231,educational
4,EDUCATIONAL PSYCHOLOGIST,5706,4.475,0.00339,educational
5,JOURNAL OF COUNSELING PSYCHOLOGY,8770,3.697,0.00568,educational
6,JOURNAL OF THE LEARNING SCIENCES,2464,3.588,0.00159,educational
7,READING RESEARCH QUARTERLY,2968,3.543,0.00179,educational
8,LEARNING AND INSTRUCTION,5480,3.323,0.00748,educational
9,Revista de Psicodidactica,589,3.05,5.5e-4,educational
10,JOURNAL OF SCHOOL PSYCHOLOGY,3611,2.981,0.00373,educational
11,SCIENTIFIC STUDIES OF READING,2216,2.91,0.00275,educational
12,CONTEMPORARY EDUCATIONAL PSYCHOLOGY,5217,2.863,0.00538,educational
13,Metacognition and Learning,989,2.69,0.0017,educational
14,JOURNAL OF CREATIVE BEHAVIOR,1356,2.661,0.00113,educational
15,COGNITION AND INSTRUCTION,2027,2.516,8.8e-4,educational
16,BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY,3631,2.506,0.00269,educational
17,SCHOOL PSYCHOLOGY REVIEW,2574,2.3,0.00167,educational
18,JOURNAL OF LITERACY RESEARCH,755,2.255,8.9e-4,educational
19,SCHOOL PSYCHOLOGY QUARTERLY,2166,2.158,0.00259,educational
20,GIFTED CHILD QUARTERLY,949,2.14,5e-4,educational
21,JOURNAL OF EXPERIMENTAL EDUCATION,1771,2.107,0.002,educational
22,Studies in Educational Evaluation,968,1.983,0.00146,educational
23,JOURNAL OF EMOTIONAL AND BEHAVIORAL DISORDERS,1209,1.976,8.2e-4,educational
24,EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,8383,1.941,0.00378,educational
25,LEARNING AND INDIVIDUAL DIFFERENCES,4838,1.916,0.00792,educational
26,School Mental Health,806,1.913,0.00138,educational
27,JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES,2163,1.909,0.00264,educational
28,MEASUREMENT AND EVALUATION IN COUNSELING AND DEVELOPMENT,1059,1.851,7.6e-4,educational
29,INSTRUCTIONAL SCIENCE,2176,1.734,0.00184,educational
30,Psychology of Music,1729,1.712,0.00196,educational
31,Journal of Diversity in Higher Education,623,1.638,0.00105,educational
32,BEHAVIORAL DISORDERS,808,1.625,8.9e-4,educational
33,Social Psychology of Education,1240,1.619,0.00181,educational
34,DISCOURSE PROCESSES,1980,1.612,0.00184,educational
35,Educational Psychology,2350,1.586,0.00263,educational
36,Journal of School Violence,769,1.561,0.00107,educational
37,Educational Measurement-Issues and Practice,847,1.512,9.7e-4,educational
38,Early Education and Development,2194,1.504,0.00261,educational
39,DYSLEXIA,843,1.458,7.8e-4,educational
40,READING AND WRITING,3156,1.445,0.00379,educational
41,SCHOOL PSYCHOLOGY INTERNATIONAL,1325,1.431,0.00104,educational
42,CREATIVITY RESEARCH JOURNAL,2659,1.289,0.00154,educational
43,JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT,1612,1.256,0.00199,educational
43,JOURNAL OF RESEARCH IN READING,1151,1.256,0.00124,educational
45,EUROPEAN JOURNAL OF PSYCHOLOGY OF EDUCATION,1420,1.247,0.00129,educational
46,PSYCHOLOGY IN THE SCHOOLS,3223,1.134,0.00236,educational
47,JOURNAL OF EDUCATIONAL AND PSYCHOLOGICAL CONSULTATION,439,1.108,2.4e-4,educational
48,Training and Education in Professional Psychology,604,1.092,5.6e-4,educational
49,JOURNAL OF EDUCATIONAL MEASUREMENT,1716,1.056,0.00129,educational
50,APPLIED MEASUREMENT IN EDUCATION,755,1.04,7.2e-4,educational
51,Psicologia Educativa,180,0.933,4e-4,educational
52,JOURNAL OF EARLY INTERVENTION,767,0.932,6e-4,educational
53,Canadian Journal of School Psychology,438,0.917,3.8e-4,educational
54,Infancia y Aprendizaje,471,0.907,2.9e-4,educational
55,Language Assessment Quarterly,478,0.729,4.6e-4,educational
56,HIGH ABILITY STUDIES,403,0.714,1.5e-4,educational
57,ZEITSCHRIFT FUR PADAGOGISCHE PSYCHOLOGIE,356,0.367,2.8e-4,educational
58,VOPROSY PSIKHOLOGII,416,0.304,7e-5,educational
59,PSYCHOLOGIE IN ERZIEHUNG UND UNTERRICHT,156,0.3,1.8e-4,educational
60,ZEITSCHRIFT FUR ENTWICKLUNGSPSYCHOLOGIE UND PADAGOGISCHE PSYCHOLOGIE,244,0.273,1.5e-4,educational
Copyright © 2020 Clarivate Analytics,NA,NA,NA,NA,educational
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",NA,NA,NA,NA,educational
1,BEHAVIORAL AND BRAIN SCIENCES,9395,17.333,0.00817,biological
2,PSYCHOPHYSIOLOGY,14586,3.692,0.01267,biological
3,EVOLUTION AND HUMAN BEHAVIOR,4240,3.067,0.00614,biological
4,PHYSIOLOGY & BEHAVIOR,22074,2.826,0.0203,biological
5,BIOLOGICAL PSYCHOLOGY,10093,2.763,0.01188,biological
6,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,8822,2.631,0.00944,biological
7,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,2673,2.217,0.003,biological
8,BEHAVIOURAL PROCESSES,4689,1.846,0.00695,biological
9,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,2136,1.778,0.0013,biological
10,JOURNAL OF PSYCHOPHYSIOLOGY,800,1.406,4.9e-4,biological
11,LEARNING & BEHAVIOR,893,1.342,0.00111,biological
12,LEARNING AND MOTIVATION,964,0.894,6.5e-4,biological
13,Integrative Psychological and Behavioral Science,553,0.631,4.8e-4,biological
Copyright © 2020 Clarivate Analytics,NA,NA,NA,NA,biological
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",NA,NA,NA,NA,biological
