"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'PSYCHOLOGY, MATHEMATICAL' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,Behavior Research Methods,"18,539",4.425,0.018050
2,PSYCHONOMIC BULLETIN & REVIEW,"12,117",3.910,0.020610
3,JOURNAL OF MATHEMATICAL PSYCHOLOGY,"3,063",2.635,0.003830
4,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,"1,965",2.388,0.003480
5,JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,"2,056",2.042,0.002660
6,PSYCHOMETRIKA,"11,390",1.959,0.004990
7,EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,"8,383",1.941,0.003780
8,APPLIED PSYCHOLOGICAL MEASUREMENT,"4,522",1.326,0.001750
9,Methodology-European Journal of Research Methods for the Behavioral and Social Sciences,829,1.242,0.000990
10,JOURNAL OF CLASSIFICATION,"1,524",1.156,0.001890
11,JOURNAL OF EDUCATIONAL MEASUREMENT,"1,716",1.056,0.001290
12,APPLIED MEASUREMENT IN EDUCATION,755,1.040,0.000720
13,Nonlinear Dynamics Psychology and Life Sciences,378,0.688,0.000420
Copyright Â© 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
