Journal,Issn,Publisher,Society,Author guideline url,Data citation score,Data citation justification,Data transparency score,Data transparency justification,Analysis code transparency score,Analysis code transparency justification,Materials transparency score,Materials transparency justification,Design & analysis reporting guidelines score,Design & analysis reporting guidelines justification,Study preregistration score,Study preregistration justification,Analysis plan preregistration score,Analysis plan preregistration justification,Replication score,Replication justification,Registered reports & publication bias score,Registered reports & publication bias justification,Open science badges score,Open science badges justification,Total
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,1071-5819,Elsevier,NA,https://www.elsevier.com/journals/international-journal-of-human-computer-studies/1071-5819/guide-for-authors,1,NA,0,Encourages but does not require a data statement,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1
"SPORT, EXERCISE, AND PERFORMANCE PSYCHOLOGY",2157-3913,American Psychological Association,NA,https://www.apa.org/pubs/journals/spy/index?tab=4,1,NA,1,NA,1,NA,1,NA,1,Encourages use of the Journal Article Reporting Standards.,0,NA,0,NA,1,NA,0,NA,2,NA,8
PSYCHOLOGY OF RELIGION AND SPIRITUALITY,1943-1562,American Psychological Association,NA,https://www.apa.org/pubs/journals/rel/index?tab=4,0,NA,0,NA,0,NA,0,NA,0,Encourages use of the Journal Article Reporting Standards for qualitative work only.,0,NA,0,NA,0,NA,0,NA,0,NA,0
PSYCHOANALYTIC PSYCHOLOGY,1939-1331,American Psychological Association,NA,https://www.apa.org/pubs/journals/pap/index?tab=4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,Encourages replication studies.,0,NA,0,NA,1
JOURNAL OF OCCUPATIONAL HEALTH PSYCHOLOGY,1939-1307,American Psychological Association,NA,https://www.apa.org/pubs/journals/ocp/index?tab=4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
"JOURNAL OF EXPERIMENTAL PSYCHOLOGY: LEARNING, MEMORY, AND COGNITION",1939-1285,American Psychological Association,NA,https://www.apa.org/pubs/journals/xlm/index?tab=4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,2
JOURNAL OF EXPERIMENTAL PSYCHOLOGY: ANIMAL LEARNING AND COGNITION,2329-8464,American Psychological Association,NA,https://www.apa.org/pubs/journals/xan/index?tab=4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,1939-2117,American Psychological Association,NA,https://www.apa.org/pubs/journals/ccp/index?tab=4,0,NA,0,"Encourages data and materials sharing with a link, but does not require sharing or an availability statement.",0,NA,0,"Encourages data and materials sharing with a link, but does not require sharing or an availability statement.",2,Requires use of the Journal Article Reporting Standards.,0,NA,0,NA,1,Encourages replication studies.,0,NA,0,NA,3
JOURNAL OF APPLIED PSYCHOLOGY,1939-1854,American Psychological Association,NA,https://www.apa.org/pubs/journals/apl/index?tab=4,1,NA,0,Encourages data sharing.,0,NA,0,Encourages materials sharing.,1,Encourages JARS and journal-created checklist,1,Encourages preregistrations and analysis plans.,1,Encourages preregistrations and analysis plans.,1,Encourages replication studies.,0,NA,0,NA,5
JOURNAL OF ABNORMAL PSYCHOLOGY,1939-1846,American Psychological Association,NA,https://www.apa.org/pubs/journals/abn/index?tab=4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
AMERICAN PSYCHOLOGIST,1935-990X,American Psychological Association,NA,https://www.apa.org/pubs/journals/amp/index?tab=4,0,NA,0,NA,0,NA,0,NA,1,Encourages use of the Journal Article Reporting Standards.,0,NA,0,NA,0,NA,0,NA,0,NA,1
PSYCHONOMIC BULLETIN AND REVIEW,1531-5320,Springer Nature,NA,https://www.springer.com/journal/13423/submission-guidelines,2,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,0,NA,0,NA,0,NA,8
THE LEADERSHIP QUARTERLY,1048-9843,Elsevier,NA,https://www.elsevier.com/journals/the-leadership-quarterly/1048-9843/guide-for-authors,1,NA,0,"The journal does instruct data to be be posted in repositories, but it is not clear if that is a requirement. Other statements in instructions indicate that this is encouraged, not required, as is the use of data availability statements.",0,Sharing of analytical code is encouraged.,NA,NA,2,"""Data reporting"" section provides specific guidelines for complete reporting.",0,NA,0,NA,3,NA,3,NA,0,NA,9
PSYCHOLOGICAL METHODS,1939-1463,American Psychological Association,NA,https://www.apa.org/pubs/journals/met/?tab=4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,2
JOURNAL OF COUNSELING PSYCHOLOGY,1939-2168,American Psychological Association,NA,https://www.apa.org/pubs/journals/cou/?tab=4,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,1
EMERGING ADULTHOOD,2167-6984,SAGE,NA,https://journals.sagepub.com/author-instructions/EAX,0,NA,1,NA,1,NA,1,NA,2,NA,1,NA,1,NA,3,NA,3,NA,2,NA,15
EVOLUTION AND HUMAN BEHAVIOR,1090-5138,Elsevier,NA,https://www.elsevier.com/journals/evolution-and-human-behavior/1090-5138/transparency-and-openness,2,NA,2,NA,0,NA,0,NA,0,NA,1,NA,1,NA,1,NA,0,NA,2,NA,9
CLINICAL PSYCHOLOGICAL SCIENCE,2167-7034,SAGE,NA,https://www.psychologicalscience.org/publications/clinical/2016-clinical-submission-guidelines,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,2,NA,3
READING RESEARCH QUARTERLY,1936-2722,Wiley,NA,https://ila.onlinelibrary.wiley.com/hub/journal/19362722/author-guidelines.html,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
LEARNING AND INSTRUCTION,0959-4752,Elsevier,NA,https://www.elsevier.com/journals/learning-and-instruction/0959-4752/guide-for-authors,1,NA,0,"Authors are encouraged, but not required, to include a data availability statement and to put shareable data into a repository.",0,NA,0,NA,0,NA,0,NA,0,NA,3,NA,3,NA,0,NA,7
JOURNAL OF THE LEARNING SCIENCES,1532-7809,Taylor and Francis,NA,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hlns20,1,NA,0,"This journal encourages data statements, but does not require them.",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1
JOURNAL OF EDUCATIONAL PSYCHOLOGY,1939-2176,American Psychological Association,NA,https://www.apa.org/pubs/journals/edu/?tab=4,1,NA,0,"APA policy requires that authors retain data and make available upon reasonable request, though there is no requirement for a data availability statement and no requirement for data transparency in a repository when ethically possible.",0,NA,0,NA,1,NA,1,NA,1,NA,0,Not clear if encourages the submission of replication studies.,3,NA,2,NA,9
JOURNAL OF PERSONALITY,1467-6494,Wiley,NA,https://onlinelibrary.wiley.com/page/journal/14676494/homepage/forauthors.html,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
NATURE HUMAN BEHAVIOR,2397-3374,Springer Nature,NA,https://www.nature.com/nathumbehav/info/gta,1,NA,1,NA,1,NA,0,NA,2,NA,2,NA,2,NA,3,NA,3,NA,0,NA,15
SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,1948-5514,SAGE,NA,https://journals.sagepub.com/author-instructions/SPP,0,NA,1,NA,1,NA,2,NA,2,NA,0,NA,0,NA,1,NA,0,NA,0,NA,7
SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE,1749-5024,Oxford University Press,NA,https://academic.oup.com/scan/pages/General_Instructions,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
PSYCHOLOGICAL SCIENCE,1467-9280,SAGE,NA,https://www.psychologicalscience.org/publications/aps-editorial-policies,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,3,NA,0,The journal accepts Registered Reports for replication studies only,2,NA,12
CHILD DEVELOPMENT,1467-8624,Wiley,NA,https://www.srcd.org/research/journals/child-development/author-guidelines-scientific-integrity-and-openness-child-development,1,"SRCD values diverse forms of research, including those carried out on primary data collected by researchers themselves and on secondary data from data repositories, public or non-public sources (e.g., non-author collaborators), and private or proprietary data. Authors should appropriately cite all data sources, program code, materials, and methods used in research.",1,"Policy states that authors *should* indicate data availability, but later notes that this information *will* be collected prior to publication.",1,"Policy states that authors *should* indicate code availability, but later notes that this information *will* be collected prior to publication.",1,"Policy states that authors *should* indicate material availability, but later notes that this information *will* be collected prior to publication.",1,"Basic recommendations provided for reporting participant characteristics, measurement, inclusion and exclusion criteria, and coding.",1,NA,1,NA,1,NA,0,NA,1,NA,9
EUROPEAN JOURNAL OF PERSONALITY,1099-0984,Wiley,NA,https://onlinelibrary.wiley.com/page/journal/10990984/homepage/forauthors.html,1,NA,1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,3,NA,3,NA,2,NA,20
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,0022-3514,American Psychological Association,NA,https://www.apa.org/pubs/journals/psp/?tab=4,2,NA,1,NA,1,NA,1,NA,1,NA,0,Encourages preregistration but is not clear if disclosure of preregistration occurs in relevant cases.,0,NA,3,NA,0,Accepts registered reports for replication studies only.,0,NA,9
JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,0022-1031,Elsevier,NA,https://www.elsevier.com/journals/journal-of-experimental-social-psychology/0022-1031/guide-for-authors,1,NA,1,"Guidelines do state that authors are required to share data, but later imply that posting in a repository is optional (""...if you have made data available in a repository"") and data may not be shared if ""unavailable or unsuitable."" Data statement required.",0,NA,0,NA,2,NA,0,NA,0,NA,3,NA,3,NA,2,NA,12
CORTEX,0010-9452,Elsevier,NA,https://www.elsevier.com/journals/cortex/0010-9452/guide-for-authors,3,See link in author instructions to TOP Guidelines policies.,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA,3,NA,3,NA,2,NA,23
